time,PriceUSD
2010-07-18,8.58E-02
2010-07-19,8.08E-02
2010-07-20,7.47E-02
2010-07-21,7.92E-02
2010-07-22,5.85E-02
2010-07-23,6.06E-02
2010-07-24,5.45E-02
2010-07-25,5.05E-02
2010-07-26,5.60E-02
2010-07-27,5.86E-02
2010-07-28,5.89E-02
2010-07-29,6.99E-02
2010-07-30,6.47E-02
2010-07-31,6.75E-02
2010-08-01,6.11E-02
2010-08-02,6.00E-02
2010-08-03,6.00E-02
2010-08-04,5.70E-02
2010-08-05,6.10E-02
2010-08-06,6.17E-02
2010-08-07,5.90E-02
2010-08-08,6.09E-02
2010-08-09,7.04E-02
2010-08-10,6.93E-02
2010-08-11,6.70E-02
2010-08-12,7.00E-02
2010-08-13,6.45E-02
2010-08-14,6.70E-02
2010-08-15,6.51E-02
2010-08-16,6.55E-02
2010-08-17,7.00E-02
2010-08-18,6.80E-02
2010-08-19,6.67E-02
2010-08-20,6.55E-02
2010-08-21,6.64E-02
2010-08-22,6.59E-02
2010-08-23,6.49E-02
2010-08-24,6.50E-02
2010-08-25,6.48E-02
2010-08-26,6.41E-02
2010-08-27,6.50E-02
2010-08-28,6.46E-02
2010-08-29,6.40E-02
2010-08-30,6.50E-02
2010-08-31,6.00E-02
2010-09-01,6.20E-02
2010-09-02,6.34E-02
2010-09-03,6.09E-02
2010-09-04,6.22E-02
2010-09-05,6.17E-02
2010-09-06,6.16E-02
2010-09-07,6.12E-02
2010-09-08,6.10E-02
2010-09-09,6.11E-02
2010-09-10,6.10E-02
2010-09-11,6.36E-02
2010-09-12,6.15E-02
2010-09-13,6.22E-02
2010-09-14,6.20E-02
2010-09-15,6.04E-02
2010-09-16,6.19E-02
2010-09-17,6.00E-02
2010-09-18,6.10E-02
2010-09-19,6.27E-02
2010-09-20,6.21E-02
2010-09-21,6.27E-02
2010-09-22,6.19E-02
2010-09-23,6.22E-02
2010-09-24,6.22E-02
2010-09-25,6.20E-02
2010-09-26,6.20E-02
2010-09-27,6.22E-02
2010-09-28,6.19E-02
2010-09-29,6.19E-02
2010-09-30,6.19E-02
2010-10-01,6.20E-02
2010-10-02,6.14E-02
2010-10-03,6.11E-02
2010-10-04,6.13E-02
2010-10-05,6.14E-02
2010-10-06,6.28E-02
2010-10-07,6.70E-02
2010-10-08,8.45E-02
2010-10-09,9.38E-02
2010-10-10,9.71E-02
2010-10-11,9.50E-02
2010-10-12,9.49E-02
2010-10-13,0.104865589
2010-10-14,0.102
2010-10-15,0.105
2010-10-16,0.101
2010-10-17,0.102
2010-10-18,0.1024
2010-10-19,9.75E-02
2010-10-20,9.90E-02
2010-10-21,0.107
2010-10-22,0.1025
2010-10-23,0.104556424
2010-10-24,0.11501
2010-10-25,0.139118553
2010-10-26,0.151
2010-10-27,0.1877
2010-10-28,0.1731
2010-10-29,0.19
2010-10-30,0.197610544
2010-10-31,0.1925
2010-11-01,0.194525061
2010-11-02,0.1938
2010-11-03,0.1931
2010-11-04,0.229275161
2010-11-05,0.259112414
2010-11-06,0.400982303
2010-11-07,0.34
2010-11-08,0.243184629
2010-11-09,0.217272694
2010-11-10,0.229549731
2010-11-11,0.2231
2010-11-12,0.2682
2010-11-13,0.276
2010-11-14,0.27904
2010-11-15,0.268464556
2010-11-16,0.225
2010-11-17,0.241939334
2010-11-18,0.269057791
2010-11-19,0.27829
2010-11-20,0.283015965
2010-11-21,0.27675
2010-11-22,0.285
2010-11-23,0.28295
2010-11-24,0.282905736
2010-11-25,0.28
2010-11-26,0.2844
2010-11-27,0.283
2010-11-28,0.271358679
2010-11-29,0.230559456
2010-11-30,0.2082
2010-12-01,0.2275
2010-12-02,0.255
2010-12-03,0.251060084
2010-12-04,0.205000526
2010-12-05,0.202850018
2010-12-06,0.204
2010-12-07,0.233420386
2010-12-08,0.2388
2010-12-09,0.199991694
2010-12-10,0.204
2010-12-11,0.228
2010-12-12,0.219853612
2010-12-13,0.227605237
2010-12-14,0.24669
2010-12-15,0.24
2010-12-16,0.24996
2010-12-17,0.242655815
2010-12-18,0.241
2010-12-19,0.2401
2010-12-20,0.267
2010-12-21,0.241436002
2010-12-22,0.25
2010-12-23,0.249970128
2010-12-24,0.248
2010-12-25,0.2499
2010-12-26,0.264962127
2010-12-27,0.264785389
2010-12-28,0.281
2010-12-29,0.3
2010-12-30,0.3
2010-12-31,0.3
2011-01-01,0.3
2011-01-02,0.29997
2011-01-03,0.295
2011-01-04,0.29895
2011-01-05,0.298916302
2011-01-06,0.298
2011-01-07,0.32
2011-01-08,0.3229
2011-01-09,0.323
2011-01-10,0.32659
2011-01-11,0.32659
2011-01-12,0.318799621
2011-01-13,0.3176
2011-01-14,0.399990006
2011-01-15,0.386
2011-01-16,0.38679
2011-01-17,0.3495
2011-01-18,0.31299
2011-01-19,0.31299
2011-01-20,0.39
2011-01-21,0.41991
2011-01-22,0.440035529
2011-01-23,0.4424
2011-01-24,0.4199
2011-01-25,0.41
2011-01-26,0.41508513
2011-01-27,0.4212
2011-01-28,0.444484044
2011-01-29,0.439
2011-01-30,0.477142034
2011-01-31,0.52513687
2011-02-01,0.707510117
2011-02-02,0.725434822
2011-02-03,0.693898368
2011-02-04,0.810958971
2011-02-05,0.911671477
2011-02-06,0.898
2011-02-07,0.88942137
2011-02-08,0.918
2011-02-09,1.016050245
2011-02-10,0.979652963
2011-02-11,1.054069454
2011-02-12,1.078703284
2011-02-13,1.05
2011-02-14,1.070012624
2011-02-15,1.05
2011-02-16,1.031687629
2011-02-17,1.039923198
2011-02-18,0.898955915
2011-02-19,0.944028117
2011-02-20,0.865
2011-02-21,0.835747428
2011-02-22,0.87704178
2011-02-23,0.9
2011-02-24,0.989095266
2011-02-25,0.914652002
2011-02-26,0.958
2011-02-27,0.895033115
2011-02-28,0.860220923
2011-03-01,0.921096892
2011-03-02,0.9399
2011-03-03,0.939073383
2011-03-04,0.9011
2011-03-05,0.907840607
2011-03-06,0.884770973
2011-03-07,0.877583864
2011-03-08,0.866071591
2011-03-09,0.86
2011-03-10,0.92067031
2011-03-11,0.88
2011-03-12,0.917815513
2011-03-13,0.89249
2011-03-14,0.893924923
2011-03-15,0.87224
2011-03-16,0.851211666
2011-03-17,0.82542
2011-03-18,0.801959208
2011-03-19,0.765
2011-03-20,0.7415
2011-03-21,0.75897
2011-03-22,0.809130293
2011-03-23,0.84971
2011-03-24,0.872374366
2011-03-25,0.88377
2011-03-26,0.8552
2011-03-27,0.822
2011-03-28,0.7947405
2011-03-29,0.792509942
2011-03-30,0.789706312
2011-03-31,0.78461
2011-04-01,0.77411
2011-04-02,0.78199
2011-04-03,0.779
2011-04-04,0.68
2011-04-05,0.715691835
2011-04-06,0.74
2011-04-07,0.7538
2011-04-08,0.74999
2011-04-09,0.734060517
2011-04-10,0.733156821
2011-04-11,0.770113933
2011-04-12,0.861381608
2011-04-13,0.930320058
2011-04-14,0.998629766
2011-04-15,0.983673137
2011-04-16,1.046632858
2011-04-17,1.098122098
2011-04-18,1.149433312
2011-04-19,1.185162221
2011-04-20,1.142125985
2011-04-21,1.207338872
2011-04-22,1.404505082
2011-04-23,1.828852301
2011-04-24,1.63198422
2011-04-25,1.564483635
2011-04-26,1.77084089
2011-04-27,1.903175959
2011-04-28,2.285744466
2011-04-29,2.85060509
2011-04-30,3.5
2011-05-01,3.094227553
2011-05-02,3.2
2011-05-03,3.360585704
2011-05-04,3.408673047
2011-05-05,3.343736684
2011-05-06,3.455075584
2011-05-07,3.641262978
2011-05-08,3.848668377
2011-05-09,3.804089582
2011-05-10,5.651667002
2011-05-11,5.439751044
2011-05-12,6.334878694
2011-05-13,8.139034867
2011-05-14,7.007243829
2011-05-15,6.924924845
2011-05-16,7.885140745
2011-05-17,7.257199541
2011-05-18,6.763163362
2011-05-19,6.890143632
2011-05-20,5.618096219
2011-05-21,6.084800667
2011-05-22,6.71195604
2011-05-23,7.065256784
2011-05-24,7.402660582
2011-05-25,8.569289637
2011-05-26,8.782155434
2011-05-27,8.528658468
2011-05-28,8.34926912
2011-05-29,8.400953472
2011-05-30,8.779342465
2011-05-31,8.721576422
2011-06-01,9.623777232
2011-06-02,10.70276023
2011-06-03,14.26464677
2011-06-04,18.31273873
2011-06-05,16.5433424
2011-06-06,18.40209864
2011-06-07,23.23787846
2011-06-08,29.02992133
2011-06-09,28.79054402
2011-06-10,24.04939923
2011-06-11,14.74974663
2011-06-12,18.85014473
2011-06-13,19.54232911
2011-06-14,19.25773551
2011-06-15,19.46414262
2011-06-16,17.92936254
2011-06-17,15.43636891
2011-06-18,16.87540454
2011-06-19,17.51071679
2011-06-20,17.51071679
2011-06-21,17.51071679
2011-06-22,17.51071679
2011-06-23,17.51071679
2011-06-24,17.51071679
2011-06-25,17.51071679
2011-06-26,16.36134202
2011-06-27,16.75228581
2011-06-28,16.96183531
2011-06-29,16.85456832
2011-06-30,16.18526278
2011-07-01,15.4203574
2011-07-02,15.38284407
2011-07-03,15.45755056
2011-07-04,13.85279681
2011-07-05,12.96481771
2011-07-06,14.71478358
2011-07-07,14.79728916
2011-07-08,14.2990377
2011-07-09,14.38150067
2011-07-10,14.62293755
2011-07-11,14.31015543
2011-07-12,14.02127262
2011-07-13,13.97145452
2011-07-14,13.99797455
2011-07-15,13.80639041
2011-07-16,13.7130793
2011-07-17,13.25813531
2011-07-18,13.63052125
2011-07-19,13.82479484
2011-07-20,13.67833059
2011-07-21,13.61180844
2011-07-22,13.69854733
2011-07-23,13.68171834
2011-07-24,13.99251518
2011-07-25,14.03342538
2011-07-26,13.87803232
